1-Phosphatidylinositol 3-Kinase;D8.811.913.696.620.525;D8.811.913.696.620.500
Iron, Dietary;;D2.691.550.600
Iron-Dextran Complex;D1.632.340.350;D1.632.550.100.500
Iron-Dextran Complex;D2.691.340.350;D2.691.550.100.500
Irrigation;E5.510;E2.533.500
Irrigation;;E5.927
Isatis;B1.650.388.100.157.438;B1.650.940.800.575.100.157.438
Isodon;B1.650.388.100.575.362;B1.650.940.800.575.100.575.362
Jasminum;B1.650.388.100.782.416;B1.650.940.800.575.100.782.416
Jatropha;B1.650.388.100.350.488;B1.650.940.800.575.100.350.488
Jaw Fractures;C21.866.260.275.500.400;C26.260.275.500.400
Jaw Fractures;C21.866.404.750.467;C26.404.750.467
Juglandaceae;B1.650.388.100.569;B1.650.940.800.575.100.569
Juglans;B1.650.388.100.569.500;B1.650.940.800.575.100.569.500
Juniperus;B1.650.388.400.122.188.500;B1.650.940.800.575.400.122.188.500
Kadsura;B1.650.388.100.889.500;B1.650.940.800.575.100.889.500
Kalanchoe;B1.650.388.100.842.249.249;B1.650.940.800.575.100.842.249.249
Kallmann Syndrome;C12.706.842.425;C12.706.316.96.750
Kallmann Syndrome;C13.351.875.842.425;C13.351.875.253.96.750
Kallmann Syndrome;C16.131.939.842.425;C16.131.939.316.96.750
Kallmann Syndrome;C19.391.775.425;C19.391.119.96.750
Kalopanax;B1.650.388.100.87.431;B1.650.940.800.575.100.87.431
Karwinskia;B1.650.388.100.840.408;B1.650.940.800.575.100.840.408
Kava;B1.650.388.100.812.666.249;B1.650.940.800.575.100.812.666.249
Kearns-Sayre Syndrome;C11.768.585.731.627;C11.768.585.658.500.627
Kearns-Sayre Syndrome;;C18.452.660.410
Kelp;B1.40.50.425;B1.750.600.425
Kelp;B1.40.750.500;B5.750.450
Kidney Failure, Chronic;C12.777.419.780.500.602;
Kidney Failure, Chronic;C13.351.968.419.780.500.602;
Kidney Tubular Necrosis, Acute;C12.777.419.780.500.205.500;C12.777.419.780.50.500
Kidney Tubular Necrosis, Acute;C12.777.419.780.625.500.400;C13.351.968.419.780.50.500
Kidney Tubular Necrosis, Acute;C13.351.968.419.780.500.205.500;
Kidney Tubular Necrosis, Acute;C13.351.968.419.780.625.500.400;
Klinefelter Syndrome;C12.706.842.454;C12.706.316.795.500
Klinefelter Syndrome;C16.131.260.800.490;C13.351.875.253.795.500
Klinefelter Syndrome;C16.131.939.842.454;C16.131.260.830.835.500
Klinefelter Syndrome;C16.320.180.800.490;C16.131.939.316.795.500
Klinefelter Syndrome;C19.391.775.454;C16.320.180.830.835.500
Klinefelter Syndrome;;C19.391.119.795.500
Knee Dislocation;C21.866.289.500;C26.289.500
Knee Dislocation;C21.866.558.554.500;C26.558.554.500
Knee Injuries;C21.866.558.554;C26.558.554
Korsakoff Syndrome;C21.613.705.150.100.500;C25.100.87.193.100.500
Korsakoff Syndrome;C21.739.100.87.193.100.500;C25.723.705.150.100.500
Krameriaceae;B1.650.388.100.572;B1.650.940.800.575.100.572
Kunzea;B1.650.388.100.773.649;B1.650.940.800.575.100.773.649
Laboratory Infection;C21.447.506;C24.506
Laburnum;B1.650.388.100.401.356;B1.650.940.800.575.100.401.356
Lacerations;C21.866.540;C26.540
Lactococcus;;B3.510.550.737.500
Lactococcus lactis;;B3.510.550.737.500.400
Lagenidium;B1.40.650.500;B1.750.937.500
Lagerstroemia;B1.650.388.100.665.374;B1.650.940.800.575.100.665.374
Lamiaceae;B1.650.388.100.575;B1.650.940.800.575.100.575
Laminaria;B1.40.50.450;B1.750.600.450
Lantana;B1.650.388.100.960.411;B1.650.940.800.575.100.960.411
Larix;B1.650.388.400.122.666.444;B1.650.940.800.575.400.122.666.444
Larrea;B1.650.388.100.987.399;B1.650.940.800.575.100.987.399
Laryngeal Masks;;E2.41.500.475
Lathyrism;C21.613.756.558;C25.723.756.558
Lathyrus;B1.650.388.100.401.375;B1.650.940.800.575.100.401.375
Lauraceae;B1.650.388.100.590;B1.650.940.800.575.100.590
Laurencia;B1.40.100.500;B1.650.700.500
Laurus;B1.650.388.100.590.399;B1.650.940.800.575.100.590.399
Lavandula;B1.650.388.100.575.428;B1.650.940.800.575.100.575.428
Lawsonia Plant;B1.650.388.100.665.437;B1.650.940.800.575.100.665.437
Lead Poisoning;C21.613.589;C25.723.589
Lead Poisoning, Nervous System;C21.613.589.500;C25.723.589.500
Lead Poisoning, Nervous System, Adult;C21.613.589.500.400;C25.723.589.500.400
Lead Poisoning, Nervous System, Childhood;C21.613.589.500.700;C25.723.589.500.700
Lecythidaceae;B1.650.388.100.600;B1.650.940.800.575.100.600
Ledum;B1.650.388.100.343.324;B1.650.940.800.575.100.343.324
Leg Injuries;C21.866.558;C26.558
Lens Plant;B1.650.388.100.401.450;B1.650.940.800.575.100.401.450
Leonurus;B1.650.388.100.575.446;B1.650.940.800.575.100.575.446
Lepidium;B1.650.388.100.157.600;B1.650.940.800.575.100.157.600
Lepidium sativum;B1.650.388.100.157.600.500;B1.650.940.800.575.100.157.600.500
Leptospermum;B1.650.388.100.773.713;B1.650.940.800.575.100.773.713
Lespedeza;B1.650.388.100.401.525;B1.650.940.800.575.100.401.525
Letter;V1.445;V1.550
Lettuce;B1.650.388.100.100.500;B1.650.940.800.575.100.100.500
Leukemia, Radiation-Induced;C21.866.733.345;C26.733.345
Leukodystrophy, Globoid Cell;;C10.228.140.163.100.362.500
Leukodystrophy, Globoid Cell;;C10.228.140.695.625.500
Leukodystrophy, Globoid Cell;;C10.228.518.625.500
Leukodystrophy, Globoid Cell;;C16.320.565.189.362.500
Leukodystrophy, Globoid Cell;;C18.452.132.100.362.500
Leukodystrophy, Globoid Cell;;C18.452.648.189.362.500
Leukodystrophy, Metachromatic;;C10.228.140.163.100.362.550
Leukodystrophy, Metachromatic;;C10.228.140.695.625.550
Leukodystrophy, Metachromatic;;C10.228.518.625.550
Leukodystrophy, Metachromatic;;C16.320.565.189.362.550
Leukodystrophy, Metachromatic;;C18.452.132.100.362.550
Leukodystrophy, Metachromatic;;C18.452.648.189.362.550
Leukoencephalitis, Acute Hemorrhagic;;C10.228.140.695.562.375
Leukoencephalitis, Acute Hemorrhagic;;C10.228.518.562.375
Leukoencephalopathies;;C10.228.518
Leukoencephalopathy, Progressive Multifocal;;C10.228.518.750
Leuzea;B1.650.388.100.100.506;B1.650.940.800.575.100.100.506
Levisticum;B1.650.388.100.75.488;B1.650.940.800.575.100.75.488
Libocedrus;B1.650.388.400.122.188.599;B1.650.940.800.575.400.122.188.599
Lice;B1.50.500.131.617.564;B1.50.500.131.617.690
Lice Infestations;C3.858.211.300;C3.858.211.465
Lichens;B1.40.500;
Lightning Injuries;C21.866.324.550;C26.324.550
Ligusticum;B1.650.388.100.75.511;B1.650.940.800.575.100.75.511
Ligustrum;B1.650.388.100.782.499;B1.650.940.800.575.100.782.499
Liliaceae;B1.650.388.100.610;B1.650.940.800.575.100.610
Lilium;B1.650.388.100.610.500;B1.650.940.800.575.100.610.500
Linaceae;B1.650.388.100.620;B1.650.940.800.575.100.620
Linaria;B1.650.388.100.892.555;B1.650.940.800.575.100.892.555
Lindera;B1.650.388.100.590.524;B1.650.940.800.575.100.590.524
Lipoid Proteinosis of Urbach and Wiethe;C17.800.454;
Lipotropic Agents;D27.505.954.230.601;D27.505.954.557.500.601
Lipoxygenase;D8.811.682.690.416.444;D8.811.682.690.416.583.625
Lipoxygenase;D12.776.556.579.374.450;D12.776.556.579.374.568.750
Lippia;B1.650.388.100.960.433;B1.650.940.800.575.100.960.433
Liquid Ventilation;;E2.41.625.525
Liquidambar;B1.650.388.100.475.750;B1.650.940.800.575.100.475.750
Liriodendron;B1.650.388.100.680.249;B1.650.940.800.575.100.680.249
Liriope Plant;B1.650.388.100.610.509;B1.650.940.800.575.100.610.509
Litchi;B1.650.388.100.885.444;B1.650.940.800.575.100.885.444
Lithospermum;B1.650.388.100.150.501;B1.650.940.800.575.100.150.501
Litsea;B1.650.388.100.590.555;B1.650.940.800.575.100.590.555
Liver Cirrhosis, Alcoholic;C21.739.100.87.645.550;C25.100.87.645.550
Liver Diseases, Alcoholic;C21.739.100.87.645;C25.100.87.645
Lobelia;B1.650.388.100.171.600;B1.650.940.800.575.100.171.600
Lod Score;G5.540.562;G5.540.750
Loganiaceae;B1.650.388.100.638;B1.650.940.800.575.100.638
Lolium;B1.650.388.100.822.500;B1.650.940.800.575.100.822.500
Lonicera;B1.650.388.100.180.388;B1.650.940.800.575.100.180.388
Loranthaceae;B1.650.388.100.735.249;B1.650.940.800.575.100.735.249
Lotus;B1.650.388.100.401.562;B1.650.940.800.575.100.401.562
Luffa;B1.650.388.100.300.522;B1.650.940.800.575.100.300.522
Lung Injury;C21.866.891.554;C26.891.554
Lupinus;B1.650.388.100.401.571;B1.650.940.800.575.100.401.571
Lychnis;B1.650.388.100.195.416;B1.650.940.800.575.100.195.416
Lycium;B1.650.388.100.905.310;B1.650.940.800.575.100.905.310
Lycopersicon esculentum;B1.650.388.100.905.322;B1.650.940.800.575.100.905.322
Lycopodiaceae;B1.650.388.525;B1.650.940.800.575.525
Lycopodium;B1.650.388.525.666;B1.650.940.800.575.525.666
Lycopus;B1.650.388.100.575.455;B1.650.940.800.575.100.575.455
Lycoris;B1.650.388.100.610.533;B1.650.940.800.575.100.610.533
Lythraceae;B1.650.388.100.665;B1.650.940.800.575.100.665
Lythrum;B1.650.388.100.665.500;B1.650.940.800.575.100.665.500
Maackia;B1.650.388.100.401.581;B1.650.940.800.575.100.401.581
Macadamia;B1.650.388.100.831.500;B1.650.940.800.575.100.831.500
Maclura;B1.650.388.100.750.599;B1.650.940.800.575.100.750.599
Macrocystis;B1.40.50.480;B1.750.600.480
Madhuca;B1.650.388.100.886.500;B1.650.940.800.575.100.886.500
Magnetic Resonance Imaging, Interventional;;E4.800.515
Magnolia;B1.650.388.100.680.500;B1.650.940.800.575.100.680.500
Magnoliaceae;B1.650.388.100.680;B1.650.940.800.575.100.680
Mahonia;B1.650.388.100.125.374;B1.650.940.800.575.100.125.374
Mallotus Plant;B1.650.388.100.350.505;B1.650.940.800.575.100.350.505
Malpighiaceae;B1.650.388.100.690;B1.650.940.800.575.100.690
Malus;B1.650.388.100.842.500.444;B1.650.940.800.575.100.842.500.444
Malva;B1.650.388.100.700.555;B1.650.940.800.575.100.700.555
Malvaceae;B1.650.388.100.700;B1.650.940.800.575.100.700
Mammea;B1.650.388.100.928.249.750;B1.650.940.800.575.100.928.249.750
Mandibular Fractures;C21.866.260.275.500.400.255;C26.260.275.500.400.255
Mandibular Fractures;C21.866.404.750.467.441;C26.404.750.467.441
Mandibular Injuries;C21.866.260.275.500.500;C26.260.275.500.500
Mandragora;B1.650.388.100.905.347;B1.650.940.800.575.100.905.347
Manganese Poisoning;C21.613.618;C25.723.618
Mangifera;B1.650.388.100.44.416;B1.650.940.800.575.100.44.416
Manihot;B1.650.388.100.350.535;B1.650.940.800.575.100.350.535
Manilkara;B1.650.388.100.886.555;B1.650.940.800.575.100.886.555
Marantaceae;B1.650.388.100.975.522;B1.650.940.800.575.100.975.522
Marchantia;B1.650.388.462.750;B1.650.940.800.575.462.750
Marijuana Abuse;C21.739.635;C25.635
Marrubium;B1.650.388.100.575.465;B1.650.940.800.575.100.575.465
Marsdenia;B1.650.388.100.99.500;B1.650.940.800.575.100.99.500
Marsileaceae;B1.650.388.250.461;B1.650.940.800.575.250.461
Masks;;E7.325.877.500
Masks;;E7.858.594.750
Matricaria;B1.650.388.100.100.195.488;B1.650.940.800.575.100.100.195.488
Matrix Metalloproteinase 17;;D12.776.395.550.448.700
Matrix Metalloproteinase 17;;D12.776.543.484.500.700
Matrix Metalloproteinase 17;;D12.776.543.550.418.700
Maxillary Fractures;C21.866.260.275.500.400.510;C26.260.275.500.400.510
Maxillary Fractures;C21.866.404.750.467.611;C26.404.750.467.611
Maxillofacial Injuries;C21.866.260.275.500;C26.260.275.500
Maytenus;B1.650.388.100.197.577;B1.650.940.800.575.100.197.577
Medicago;B1.650.388.100.401.590;B1.650.940.800.575.100.401.590
Medicago sativa;B1.650.388.100.401.590.500;B1.650.940.800.575.100.401.590.500
Medicago truncatula;B1.650.388.100.401.590.750;B1.650.940.800.575.100.401.590.750
Medicine, Kampo;E2.190.488.587;
Medicine, Kampo;I1.76.201.450.654.600;
Medicine, Mongolian Traditional;E2.190.488.745;E2.190.488.585.850
Medicine, Mongolian Traditional;;I1.76.201.450.654.558.750
Medicine, Tibetan Traditional;E2.190.488.585.800;
Melaleuca;B1.650.388.100.773.745;B1.650.940.800.575.100.773.745
Melastomataceae;B1.650.388.100.707;B1.650.940.800.575.100.707
Melia;B1.650.388.100.715.500;B1.650.940.800.575.100.715.500
Melia azedarach;B1.650.388.100.715.500.500;B1.650.940.800.575.100.715.500.500
Meliaceae;B1.650.388.100.715;B1.650.940.800.575.100.715
Melilotus;B1.650.388.100.401.592;B1.650.940.800.575.100.401.592
Melissa;B1.650.388.100.575.474;B1.650.940.800.575.100.575.474
Menarche;G8.686.785.760.960.374.410;G8.686.785.880.374.410
Meningocele;;C23.300.707.968
Menispermaceae;B1.650.388.100.725;B1.650.940.800.575.100.725
Menispermum;B1.650.388.100.725.500;B1.650.940.800.575.100.725.500
Menopause;G8.686.785.760.960.249.500;G8.686.785.880.249.500
Menopause, Premature;G8.686.785.760.960.249.500.500;G8.686.785.880.249.500.500
Mentha;B1.650.388.100.575.483;B1.650.940.800.575.100.575.483
Mentha piperita;B1.650.388.100.575.483.444;B1.650.940.800.575.100.575.483.444
Mentha pulegium;B1.650.388.100.575.483.500;B1.650.940.800.575.100.575.483.500
Mentha spicata;B1.650.388.100.575.483.750;B1.650.940.800.575.100.575.483.750
Mercury Poisoning;C21.613.647;C25.723.647
Mercury Poisoning, Nervous System;C21.613.647.500;C25.723.647.500
Mesembryanthemum;B1.650.388.100.20.500;B1.650.940.800.575.100.20.500
Methocarbamol;D2.755.75.536.400.500;D2.355.726.453.400.500
Methocarbamol;;D2.755.654.453.400.500
Mice, Knockout;B1.50.50.680.136.500.500;B1.50.50.136.500.500
Mice, Transgenic;B1.50.50.680.136.500;B1.50.50.136.500
MicroRNAs;D13.444.735.790.99;D13.444.735.790.552.500
Mikania;B1.650.388.100.100.512;B1.650.940.800.575.100.100.512
Milk Sickness;C21.613.756.600;C25.723.756.600
Milk Thistle;B1.650.388.100.100.525;B1.650.940.800.575.100.100.525
Millettia;B1.650.388.100.401.594;B1.650.940.800.575.100.401.594
Mimosa;B1.650.388.100.401.596;B1.650.940.800.575.100.401.596
Mimulus;B1.650.388.100.892.599;B1.650.940.800.575.100.892.599
Mimusops;B1.650.388.100.886.577;B1.650.940.800.575.100.886.577
Mind-Body Relations (Metaphysics);E2.190.525.750;
Mirabilis;B1.650.388.100.775.500;B1.650.940.800.575.100.775.500
Mistletoe;B1.650.388.100.735;B1.650.940.800.575.100.735
Mite Infestations;C3.858.211.394;C3.858.211.480
Mitragyna;B1.650.388.100.850.555;B1.650.940.800.575.100.850.555
Mollicutes;B3.440.560;B3.440.860
Molluginaceae;B1.650.388.100.740;B1.650.940.800.575.100.740
Momordica;B1.650.388.100.300.655;B1.650.940.800.575.100.300.655
Momordica charantia;B1.650.388.100.300.655.249;B1.650.940.800.575.100.300.655.249
Monarda;B1.650.388.100.575.510;B1.650.940.800.575.100.575.510
Monimiaceae;B1.650.388.100.745;B1.650.940.800.575.100.745
Montanoa;B1.650.388.100.100.543;B1.650.940.800.575.100.100.543
Monteggia's Fracture;C21.866.404.937.547;C26.404.937.547
Moraceae;B1.650.388.100.750;B1.650.940.800.575.100.750
Morinda;B1.650.388.100.850.566;B1.650.940.800.575.100.850.566
Moringa;B1.650.388.100.752;B1.650.940.800.575.100.752
Moringa oleifera;B1.650.388.100.752.500;B1.650.940.800.575.100.752.500
Morphine Dependence;C21.739.675.600;C25.675.600
Morus;B1.650.388.100.750.633;B1.650.940.800.575.100.750.633
Motion Sickness;C21.335;C23.888.571
Motor Neuron Disease;C10.668.460;C10.668.467
MPTP Poisoning;C21.613.705.400;C25.723.705.400
Mucuna;B1.650.388.100.401.598;B1.650.940.800.575.100.401.598
Multiple Myeloma;C15.378.463.835.460;C15.378.463.515.460
Multiple Trauma;C21.866.640;C26.640
Muromonab-CD3;D12.776.124.486.485.114.224.570;D12.776.124.486.485.114.224.75.570
Muromonab-CD3;D12.776.124.790.651.114.224.570;D12.776.124.790.651.114.224.75.570
Muromonab-CD3;D12.776.377.715.548.114.224.570;D12.776.377.715.548.114.224.284.570
Murraya;B1.650.388.100.875.666;B1.650.940.800.575.100.875.666
Musa;B1.650.388.100.975.555.500;B1.650.940.800.575.100.975.555.500
Musaceae;B1.650.388.100.975.555;B1.650.940.800.575.100.975.555
Muscular Atrophy, Spinal;C10.668.460.500;C10.668.467.500
Mushroom Poisoning;C21.613.415.551;C25.723.415.551
Mushroom Poisoning;C21.613.680.551;C25.723.680.551
Mustard Plant;B1.650.388.100.157.200.500;B1.650.940.800.575.100.157.200.500
Mycoplasma;B3.440.560.580.553.553;B3.440.860.580.553.553
Mycoplasma agalactiae;B3.440.560.580.553.553.50;B3.440.860.580.553.553.50
Mycoplasma arthritidis;B3.440.560.580.553.553.75;B3.440.860.580.553.553.75
Mycoplasma bovigenitalium;B3.440.560.580.553.553.195;B3.440.860.580.553.553.195
Mycoplasma bovis;B3.440.560.580.553.553.200;B3.440.860.580.553.553.200
Mycoplasma capricolum;B3.440.560.580.553.553.210;B3.440.860.580.553.553.210
Mycoplasma conjunctivae;B3.440.560.580.553.553.220;B3.440.860.580.553.553.220
Mycoplasma dispar;B3.440.560.580.553.553.267;B3.440.860.580.553.553.267
Mycoplasma fermentans;B3.440.560.580.553.553.315;B3.440.860.580.553.553.315
Mycoplasma gallisepticum;B3.440.560.580.553.553.345;B3.440.860.580.553.553.345
Mycoplasma genitalium;B3.440.560.580.553.553.355;B3.440.860.580.553.553.355
Mycoplasma hominis;B3.440.560.580.553.553.400;B3.440.860.580.553.553.400
Mycoplasma hyopneumoniae;B3.440.560.580.553.553.420;B3.440.860.580.553.553.420
Mycoplasma hyorhinis;B3.440.560.580.553.553.425;B3.440.860.580.553.553.425
Mycoplasma hyosynoviae;B3.440.560.580.553.553.430;B3.440.860.580.553.553.430
Mycoplasma iowae;B3.440.560.580.553.553.450;B3.440.860.580.553.553.450
Mycoplasma meleagridis;B3.440.560.580.553.553.570;B3.440.860.580.553.553.570
Mycoplasma mycoides;B3.440.560.580.553.553.585;B3.440.860.580.553.553.585
Mycoplasma orale;B3.440.560.580.553.553.630;B3.440.860.580.553.553.630
Mycoplasma ovipneumoniae;B3.440.560.580.553.553.635;B3.440.860.580.553.553.635
Mycoplasma penetrans;B3.440.560.580.553.553.645;B3.440.860.580.553.553.645
Mycoplasma pneumoniae;B3.440.560.580.553.553.650;B3.440.860.580.553.553.650
Mycoplasma pulmonis;B3.440.560.580.553.553.670;B3.440.860.580.553.553.670
Mycoplasma salivarium;B3.440.560.580.553.553.720;B3.440.860.580.553.553.720
Mycoplasma synoviae;B3.440.560.580.553.553.770;B3.440.860.580.553.553.770
Mycoplasmataceae;B3.440.560.580.553;B3.440.860.580.553
Mycoplasmatales;B3.440.560.580;B3.440.860.580
Mycorrhizae;A19.875;A19.690
Mycotoxicosis;C21.613.680;C25.723.680
Myocardial Perfusion Imaging;;E1.370.350.130.875
Myoporaceae;B1.650.388.100.756;B1.650.940.800.575.100.756
Myoporum;B1.650.388.100.756.500;B1.650.940.800.575.100.756.500
Myrica;B1.650.388.100.760.500;B1.650.940.800.575.100.760.500
Myricaceae;B1.650.388.100.760;B1.650.940.800.575.100.760
Myristica fragrans;B1.650.388.100.765.500;B1.650.940.800.575.100.765.500
Myristicaceae;B1.650.388.100.765;B1.650.940.800.575.100.765
Myroxylon;B1.650.388.100.401.601;B1.650.940.800.575.100.401.601
Myrsinaceae;B1.650.388.100.770;B1.650.940.800.575.100.770
Myrtaceae;B1.650.388.100.773;B1.650.940.800.575.100.773
Myrtus;B1.650.388.100.773.761;B1.650.940.800.575.100.773.761
Narcissus;B1.650.388.100.610.555;B1.650.940.800.575.100.610.555
Nardostachys;B1.650.388.100.955.443;B1.650.940.800.575.100.955.443
Nasal Lavage;E5.510.573;E5.927.573
Nasal Lavage Fluid;E5.510.573.500;E5.927.573.500
Nasturtium;B1.650.388.100.157.644;B1.650.940.800.575.100.157.644
Near Drowning;C21.866.304.500;C26.304.500
Neck Injuries;C21.866.700;C26.700
Nectar;D20.215.597;D20.215.780
Needlestick Injuries;C21.866.986.950.500;C26.986.950.500
Negative-Pressure Wound Therapy;;E4.987.550
Nelumbo;B1.650.388.100.774.500;B1.650.940.800.575.100.774.500
Nelumbonaceae;B1.650.388.100.774;B1.650.940.800.575.100.774
Neonatal Abstinence Syndrome;C21.739.650;C25.650
Neoplasms, Radiation-Induced;C21.866.733.476;C26.733.476
Neoplastic Cells, Circulating;C4.697.650.645;C4.697.650.900
Neoplastic Cells, Circulating;C23.550.727.650.645;C23.550.727.650.900
Nepeta;B1.650.388.100.575.538;B1.650.940.800.575.100.575.538
Nerium;B1.650.388.100.81.432;B1.650.940.800.575.100.81.432
Neuroendoscopy;;E1.370.376.525
Neuroendoscopy;;E4.525.562
Neuroleptic Malignant Syndrome;C21.613.705.600;C25.723.705.600
Neurotoxicity Syndromes;C21.613.705;C25.723.705
Neutrophil Infiltration;G12.425.550;G12.425.898
Nigella;B1.650.388.100.838.518;B1.650.940.800.575.100.838.518
Nigella damascena;B1.650.388.100.838.518.500;B1.650.940.800.575.100.838.518.500
Nigella sativa;B1.650.388.100.838.518.750;B1.650.940.800.575.100.838.518.750
Nitella;B1.40.150.575;B1.650.940.800.150.150.575
Nitroprusside;D1.485.250.300.550;D1.490.100.300.550
Nontherapeutic Human Experimentation;;H1.770.644.145.365.750
Nontherapeutic Human Experimentation;;H1.770.644.302.750
Noonan Syndrome;;C14.240.400.787
Noonan Syndrome;;C14.280.400.787
Noonan Syndrome;;C16.131.240.400.784
Nuphar;B1.650.388.100.776.488;B1.650.940.800.575.100.776.488
Nursing Administration Research;;H1.770.644.145.390.385
Nursing Education Research;;H1.770.644.145.390.413
Nursing Evaluation Research;;H1.770.644.145.390.432
Nursing Methodology Research;;H1.770.644.145.390.634
Nursing Research;;H1.770.644.145.390
Nutrition Policy;N3.706.825.608.428.650;I1.655.500.608.400.650
Nutrition Policy;;N3.623.500.608.428.650
Nyctaginaceae;B1.650.388.100.775;B1.650.940.800.575.100.775
Nymphaea;B1.650.388.100.776.500;B1.650.940.800.575.100.776.500
Nymphaeaceae;B1.650.388.100.776;B1.650.940.800.575.100.776
Nyssa;B1.650.388.100.778.594;B1.650.940.800.575.100.778.594
Nyssaceae;B1.650.388.100.778;B1.650.940.800.575.100.778
Occupational Diseases;C21.447;C24
Ochnaceae;B1.650.388.100.779;B1.650.940.800.575.100.779
Ochromonas;B1.40.75.600;B1.750.150.600
Ochrosia;B1.650.388.100.81.604;B1.650.940.800.575.100.81.604
Ocimum;B1.650.388.100.575.647;B1.650.940.800.575.100.575.647
Ocimum basilicum;B1.650.388.100.575.647.500;B1.650.940.800.575.100.575.647.500
Ocotea;B1.650.388.100.590.587;B1.650.940.800.575.100.590.587
Oenanthe;B1.650.388.100.75.568;B1.650.940.800.575.100.75.568
Oenothera;B1.650.388.100.786.611;B1.650.940.800.575.100.786.611
Oenothera biennis;B1.650.388.100.786.611.500;B1.650.940.800.575.100.786.611.500
Olacaceae;B1.650.388.100.780;B1.650.940.800.575.100.780
Oldenlandia;B1.650.388.100.850.611;B1.650.940.800.575.100.850.611
Olea;B1.650.388.100.782.666;B1.650.940.800.575.100.782.666
Oleaceae;B1.650.388.100.782;B1.650.940.800.575.100.782
Onagraceae;B1.650.388.100.786;B1.650.940.800.575.100.786
Onions;B1.650.388.100.610.100.600;B1.650.940.800.575.100.610.100.600
Onopordum;B1.650.388.100.100.562;B1.650.940.800.575.100.100.562
Oomycetes;B1.40.650;B1.750.937
Operations Research;;H1.770.644.333
Ophiopogon;B1.650.388.100.610.588;B1.650.940.800.575.100.610.588
Opioid-Related Disorders;C21.739.675;C25.675
Oplopanax;B1.650.388.100.87.450;B1.650.940.800.575.100.87.450
Optic Nerve Injuries;C21.866.260.237.650;C26.260.237.650
Optic Nerve Injuries;C21.866.915.300.400.650;C26.915.300.400.650
Opuntia;B1.650.388.100.168.500;B1.650.940.800.575.100.168.500
Orbital Fractures;C21.866.260.275.500.550;C26.260.275.500.550
Orbital Fractures;C21.866.404.750.684;C26.404.750.684
Orchidaceae;B1.650.388.100.787;B1.650.940.800.575.100.787
Orciprenaline;D2.33.100.291.550;D2.33.100.291.465
Orciprenaline;D2.92.63.291.550;D2.92.63.291.465
Orciprenaline;D2.92.211.215.311.600;D2.92.211.215.311.465
Organisms, Genetically Modified;B1.50.50.680;B5.620
Organisms, Genetically Modified;B1.650.380;
Organizational Policy;N3.706.825.550;I1.655.500.550
Organizational Policy;;N3.623.500.550
Origanum;B1.650.388.100.575.702;B1.650.940.800.575.100.575.702
Ornithogalum;B1.650.388.100.610.593;B1.650.940.800.575.100.610.593
Orobanchaceae;B1.650.388.100.788;B1.650.940.800.575.100.788
Orobanche;B1.650.388.100.788.750;B1.650.940.800.575.100.788.750
Orofaciodigital Syndromes;C16.131.260.800.670;C16.131.260.830.670
Orofaciodigital Syndromes;C16.320.180.800.670;C16.320.180.830.670
Orthosiphon;B1.650.388.100.575.729;B1.650.940.800.575.100.575.729
Oryza sativa;B1.650.388.100.822.616;B1.650.940.800.575.100.822.616
Osteopontin;;D12.776.395.700.837
Osteoradionecrosis;C21.866.733.579;C26.733.579
Outcome Assessment (Health Care);;H1.770.644.145.431
Ovarian Failure, Premature;C13.351.500.56.630.611;C13.351.500.56.630.750
Ovarian Failure, Premature;C19.391.630.611;C19.391.630.750
Overdose;C21.613.730;C25.723.730
Oxytropis;B1.650.388.100.401.606;B1.650.940.800.575.100.401.606
Pacemaker, Artificial;E7.858.82.748;E7.305.250.750
Pachyrhizus;B1.650.388.100.401.611;B1.650.940.800.575.100.401.611
Pachysandra;B1.650.388.100.165.750;B1.650.940.800.575.100.165.750
Paeonia;B1.650.388.100.789;B1.650.940.800.575.100.789
Palaquium;B1.650.388.100.886.666;B1.650.940.800.575.100.886.666
Panax;B1.650.388.100.87.500;B1.650.940.800.575.100.87.500
Panax notoginseng;B1.650.388.100.87.500.500;B1.650.940.800.575.100.87.500.500
Pancreatitis, Alcoholic;C21.739.100.87.730;C25.100.87.730
Pandanaceae;B1.650.388.100.792;B1.650.940.800.575.100.792
Panicum;B1.650.388.100.822.680;B1.650.940.800.575.100.822.680
Pantothenate Kinase-Associated Neurodegeneration;C10.228.140.79.501;C10.228.140.79.800
Pantothenate Kinase-Associated Neurodegeneration;C10.228.662.425;C10.228.662.575
Pantothenate Kinase-Associated Neurodegeneration;C10.574.500.492;C10.574.500.700
Pantothenate Kinase-Associated Neurodegeneration;C16.320.400.400;C16.320.400.650
Papaver;B1.650.388.100.795.500;B1.650.940.800.575.100.795.500
Papaveraceae;B1.650.388.100.795;B1.650.940.800.575.100.795
Paralysis, Obstetric;C21.866.141.587;C26.141.587
Parapsychology;;H1.770.644.364
Parietaria;B1.650.388.100.950.777;B1.650.940.800.575.100.950.777
Paspalum;B1.650.388.100.822.744;B1.650.940.800.575.100.822.744
Passiflora;B1.650.388.100.803.500;B1.650.940.800.575.100.803.500
Passifloraceae;B1.650.388.100.803;B1.650.940.800.575.100.803
Pastinaca;B1.650.388.100.75.625;B1.650.940.800.575.100.75.625
Patellar Dislocation;C21.866.289.625;C26.289.625
Patellar Dislocation;C21.866.558.554.750;C26.558.554.750
Patrinia;B1.650.388.100.955.665;B1.650.940.800.575.100.955.665
