2,3-Diketogulonic Acid;D9.203.811.200;D9.811.200
Organ Culture;E5.200.937.576;E5.200.249.484
Organ Procurement;N2.421.559;N2.421.911
Organ Weight;G7.553.481.690;E1.370.600.115.100.660
Organ Weight;;G7.290.100.660
Organ Weight;;G7.574.249.690
Organogenesis;G7.553.783;G7.574.500.325.377
Organothiophosphorus Compounds;D2.719;D2.705.539
Orgasm;F1.145.802.659;G8.520.460
Orgasm;G8.520.902.659;
Osteogenesis;G7.553.690.100.729;G7.574.500.325.377.625.100.729
Ostriches;B1.150.900.248.818.550;B1.150.900.248.600.800
Otters;B1.150.900.649.147.725;B1.150.900.649.147.550.600
Ouabain;D9.203.408.180.810.600;D9.408.180.810.600
Ovarian Neoplasms;C4.588.945.418.685;C19.344.410
Ovarian Neoplasms;C19.344.455;
Owls;;B1.150.900.248.870
Oxacillin;D2.65.589.875.625;D2.65.589.99.750.625
Oxyphenbutazone;D3.383.694.700.640;D3.383.694.850.777.640
Oxytetracycline;D4.615.597.900.600;D4.615.562.900.600
p120 GTPase Activating Protein;;D12.644.360.325.150.500.500
p120 GTPase Activating Protein;;D12.776.476.325.150.500.500
p42 MAP Kinase;D8.811.913.696.620.682.700.567.685;D8.811.913.696.620.682.700.567.342.500
p42 MAP Kinase;D8.811.913.696.620.682.700.646.750.500D8.811.913.696.620.682.700.646.750.249.5;
p42 MAP Kinase;;D12.644.360.450.169.500
p42 MAP Kinase;;D12.776.476.450.169.500
Pan paniscus;B1.150.900.649.801.400.650.600;B1.150.900.649.801.400.350.600
Pan troglodytes;B1.150.900.649.801.400.650.610;B1.150.900.649.801.400.350.620
Pancreas;A10.336.583;
Pancreatic Insufficiency;C6.689.612;C6.689.276
Pancreatic Neoplasms;;C4.588.322.421
Pancreatic Neoplasms;;C19.344.421
Parakeets;B1.150.900.248.710.503;B1.150.900.248.710.672.650
Parathion;D2.719.746;D2.705.539.746
Parity;G8.520.615;G8.520.769.472
Paromomycin;D9.203.408.51.623.635;D9.408.51.623.635
Parthenogenesis;G8.520.689;G8.520.830.500
Pasteurellosis, Pneumonic;C22.196.648;C8.730.85.600
Pasteurellosis, Pneumonic;;C22.196.90.600
Pattern Recognition, Visual;;F2.463.593.524.500
Pattern Recognition, Visual;;F2.463.593.932.622
Pattern Recognition, Visual;;G11.697.716.877.905
Pectins;D9.203.698.670;D5.750.78.738
Pectins;;D9.698.670
Pelvimetry;E1.370.600.605;E1.370.600.24.690
Pelvimetry;E5.118.785;E5.41.690
Penicillanic Acid;D2.65.589.875.687;D2.65.589.99.750.687
Penicillin G;D2.65.589.875.750;D2.65.589.99.750.750
Penicillin G, Benzathine;D2.65.589.875.750.685;D2.65.589.99.750.750.685
Penicillin G, Procaine;D2.65.589.875.750.695;D2.65.589.99.750.750.695
Penicillin V;D2.65.589.875.781;D2.65.589.99.750.781
Penicillins;D2.65.589.875;D2.65.589.99.750
Penile Erection;F1.145.802.724;G8.520.717
Penile Erection;G8.520.902.724;
Pentosan Sulfuric Polyester;D9.203.698.682;D9.698.682
Pentosephosphates;D9.203.894.643;D9.894.643
Pentoses;D9.203.546.627;D9.546.627
Peplomycin;D9.203.400.420.110.690;D9.400.420.110.690
Peptide Chain Elongation;G5.310.725.543;G6.535.770.871.640
Peptide Chain Elongation;G6.535.770.543;
Peptide Chain Initiation;G5.310.725.643;G6.535.770.871.650
Peptide Chain Initiation;G6.535.770.643;
Peptide Chain Termination;G5.310.725.743;G6.535.770.871.720
Peptide Chain Termination;G6.535.770.743;
Peptides, Cyclic;;D4.345.566
Peptidoglycan;D9.203.400.420.700;D9.400.420.700
Peptidoglycan;D9.203.698.718.594;D9.698.718.594
Persistent Fetal Circulation Syndrome;C14.907.489.531.694;C8.381.423.694
Perylene;D4.615.117.306.700;D4.615.149.700
Perylene;;D4.615.680.500
Phalloidine;;D4.345.566.735
Phanerochaete;B5.179.700;B5.179.120.760.649
Phenylalanine Hydroxylase;D8.811.682.580.601;D8.811.682.690.708.601
Phenylbutazone;D3.383.694.700;D3.383.694.850.777
Phenylphosphonothioic Acid, 2-Ethyl 2-(4-Nitrophenyl) Ester;D2.719.750;D2.705.539.750
Pheophytins;;D4.345.783.374.700
Phleomycins;D9.203.400.420.110.710;D9.400.420.110.710
Phlorhizin;D9.203.408.702;D9.408.702
Phorate;D2.719.783;D2.705.539.783
Phosmet;D2.719.790;D2.705.539.790
Phosphatidylinositol 4,5-Diphosphate;D10.570.755.375.760.400.913.900;D10.570.755.375.760.400.942.625.900
Phosphatidylinositol Phosphates;D10.570.755.375.760.400.913;D10.570.755.375.760.400.942.625
Phosphoenolpyruvate Sugar Phosphotransferase System;;D5.500.562.484
Phosphoribosyl Pyrophosphate;D9.203.894.643.650;D9.894.643.650
Photomicrography;;E1.370.350.515.799
Photons;H1.671.768.441;H1.671.606.552.782
Photons;;H1.671.768.638.578.782
Photosystem I Protein Complex;;D5.500.562.492
Photosystem II Protein Complex;;D5.500.562.496
Phototropism;G7.950.700;G7.574.249.845.700
Phrenology;K1.419.799;K1.504.799
Phycobilisomes;;D5.500.249.600
Phyllodes Tumor;C4.557.450.565.590.595.350.650;C17.800.90.500.762
Phyllodes Tumor;C4.557.470.625.350.650;
Phyllodes Tumor;C19.146.170.630;
Physostigmine;D2.241.81.251.642;D2.241.81.251.583.682
Physostigmine;D3.132.656;D3.132.436.545
Physostigmine;;D3.438.473.402.545
Phytic Acid;D9.203.853.519.400.700;D9.853.519.400.700
Phytic Acid;D9.203.894.480.700;D9.894.480.700
Picrotoxin;D9.203.408.348.700;D9.408.348.700
Pigeons;B1.150.900.248.523;B1.150.900.248.165.150
Pinnipedia;B1.150.900.649.754;
Piperacillin;D2.65.589.875.750.50.650;D2.65.589.99.750.750.50.650
Pituitary Gland;A8.186.211.730.385.357.352.600;A8.186.211.730.385.357.352.435.500
Pituitary Gland, Anterior;A8.186.211.730.385.357.352.600.700;A8.186.211.730.385.357.352.435.500.700
Pituitary Gland, Posterior;A8.186.211.730.385.357.352.600.734;A8.186.211.730.385.357.352.435.500.734
Pivampicillin;D2.65.589.875.750.50.700;D2.65.589.99.750.750.50.700
Placentation;G8.520.720;G8.520.769.491
Plastics;;D5.750.716
Platelet Factor 4;D9.203.698.735.800;D9.698.735.800
Pleurotus;B5.179.120.760.600;B5.179.100.650
Plicamycin;D4.615.597.50.650;D4.615.562.50.650
Plicamycin;D9.203.408.51.50.650;D9.408.51.59.650
Plummer-Vinson Syndrome;C6.405.117.418.408.700;C6.405.117.119.500.742
Pneumococcal Vaccines;D24.310.894.135.630;D24.310.894.135.744.600
Pneumonia, Atypical Interstitial, of Cattle;C22.196.690;C8.730.85.660
Pneumonia, Atypical Interstitial, of Cattle;;C22.196.90.660
Poloxalene;;D5.750.741.650
Poloxamer;;D5.750.741.667
Poly Adenosine Diphosphate Ribose;D9.203.408.620.569.70.125.600;D9.408.620.569.70.125.600
Polyadenylation;;G6.535.839.225.710
Polyanetholesulfonate;;D5.750.722
Polydioxanone;;D5.750.728.700
Polyendocrinopathies, Autoimmune;C19.750;C19.787
Polyesters;;D5.750.728
Polyethylene;;D5.750.716.507.500
Polyethylene Glycols;;D5.750.741
Polyethylene Terephthalates;;D5.750.728.764
Polyethyleneimine;;D5.750.716.507.600
Polyethylenes;;D5.750.716.507
Polygeline;;D5.750.780
Polyglactin 910;;D5.750.728.772
Polyglycolic Acid;;D5.750.728.780
Polyhydroxyethyl Methacrylate;;D5.750.716.822.111.650.750
Polyhydroxyethyl Methacrylate;;D5.750.741.685
Polyisoprenyl Phosphate Monosaccharides;D9.203.894.680.700;D9.894.680.700
Polyisoprenyl Phosphate Oligosaccharides;D9.203.894.680.710;D9.894.680.710
Polyisoprenyl Phosphate Sugars;D9.203.894.680;D9.894.680
Polymers;;D5.750
Polymethacrylic Acids;;D5.750.716.822.111.650
Polymethyl Methacrylate;;D5.750.716.822.111.650.605.500
Polymyxin B;;D4.345.566.780.750
Polymyxins;;D4.345.566.780
Polyphloretin Phosphate;;D5.750.795
Polypropylenes;;D5.750.716.550
Polysaccharides;D9.203.698;D9.698
Polysaccharides, Bacterial;D9.203.698.718;D9.698.718
Polysorbates;;D5.750.741.700
Polystyrenes;;D5.750.716.579
Polytetrafluoroethylene;;D5.750.395.616
Polyurethanes;;D5.750.327.782
Polyurethanes;;D5.750.716.650
Polyvinyl Alcohol;;D5.750.716.721.616
Polyvinyl Chloride;;D5.750.716.721.812
Polyvinyls;;D5.750.716.721
Pongo pygmaeus;B1.150.900.649.801.400.650.650;B1.150.900.649.801.400.350.650
Porfiromycin;;D2.806.400.249.700
Porfiromycin;;D3.438.473.412.249.700
Porphyria, Erythrohepatic;C6.552.825;C6.552.830.437
Porphyria, Erythrohepatic;C16.320.565.728;C16.320.565.735.437
Porphyria, Erythrohepatic;C16.320.850.735;C16.320.850.742.437
Porphyria, Erythrohepatic;C17.800.827.735;C17.800.827.742.437
Porphyria, Erythrohepatic;C17.800.849.617.125;C17.800.849.617.400.437
Porphyria, Erythrohepatic;C18.452.648.728;C18.452.648.735.437
Porphyria, Erythrohepatic;C18.452.872.617.125;C18.452.872.617.400.437
Porphyrinogens;;D4.345.783.500.700
Porphyrins;;D4.345.783.500
Postmenopause;G8.520.150.500.625;G8.520.960.249.500.625
Povidone;;D5.750.716.721.838
Povidone-Iodine;;D5.750.716.721.838.745
Prajmaline;D3.132.973.641.119.650;D3.132.436.681.77.650
Prajmaline;D3.549.937.641.144.650;D3.438.473.402.681.77.650
Pre-Eclampsia;C13.703.799.314.619;C13.703.395.249
Precipitin Tests;;E5.478.605.492
Pregnancy in Adolescence;G8.520.420.770;G8.520.769.408.770
Pregnancy in Diabetics;C13.703.766;C13.703.726
Pregnancy in Diabetics;C18.452.394.750.820;
Pregnancy in Diabetics;C19.246.820;
Pregnancy Maintenance;G8.520.769.640;G8.520.769.520
Pregnancy Outcome;G8.520.769.675;G8.520.769.530
Pregnancy Rate;G8.520.769.775;G8.520.769.540
Pregnancy Trimester, First;G8.520.840.408;G8.520.769.550.408
Pregnancy Trimester, Second;G8.520.840.490;G8.520.769.550.490
Pregnancy Trimester, Third;G8.520.840.520;G8.520.769.550.520
Pregnancy Trimesters;G8.520.840;G8.520.769.550
Pregnancy, Animal;G8.520.780;G8.520.769.498
Pregnancy, High-Risk;;G8.520.769.500
Pregnancy, Multiple;G8.520.800;
Pregnancy, Prolonged;G8.520.769.689;C13.703.805
Pregnancy, Unwanted;G8.520.850;G8.520.769.580
Premenopause;G8.520.150.600;G8.520.960.249.500.812
Prenatal Exposure Delayed Effects;G8.520.860;C13.703.824.500
Prenatal Nutrition;G8.520.769.507;G8.520.769.600
Prenazone;D3.383.694.700.670;D3.383.694.850.777.670
Presbycusis;;C10.597.751.418.341.887.772
Presbycusis;;C23.888.592.763.393.341.887.772
Pristinamycin;;D4.345.566.802.374
Proanthocyanidins;;D5.750.78.937.429
Procetofen;;D2.241.81.160.225.597
Prochloron;B3.440.475.550.600;B3.440.475.100.655.620
Prochlorothrix;B3.440.475.550.625;B3.440.475.100.655.640
Procollagen-Lysine, 2-Oxoglutarate 5-Dioxygenase;D8.811.682.580.660;D8.811.682.690.708.660
Procollagen-Proline Dioxygenase;D8.811.682.580.673;D8.811.682.690.708.673
Prodigiozan;D9.203.698.718.650;D9.698.718.650
Programming Languages;L1.700.568.810.780;L1.224.900.780
Prophase;G4.335.135.220.225.750;G4.335.134.220.220.875
Prophase;G5.105.225.750;G4.335.233.750.500.220.875
Prophase;G7.553.135.220.225.750;G5.105.220.875
Prophase;;G7.382.374.220.220.875
Prophase;;G7.382.843.750.500.220.875
Prophase;;G7.574.249.410.750.500.220.875
Proplast;;D5.750.395.616.755
Propolis;;D5.750.78.740.762
Propoxur;D2.241.81.251.650;D2.241.81.251.583.788
Proscillaridin;D9.203.408.180.660;D9.408.180.660
Prostaglandin-Endoperoxide Synthase;D8.811.682.580.715;D8.811.682.690.708.715
Prostitution;G8.520.902.790;G8.520.950.790
Protamine Kinase;;D12.644.360.200.575
Protamine Kinase;;D12.776.476.200.575
Protein Array Analysis;;E5.196.630.570.700
Protein Array Analysis;;E5.588.570.700
Protein Conformation;G6.184.580.709;G6.184.603.790.709
Protein Isoprenylation;G5.315.600.400;G5.315.670.600.400
Protein Isoprenylation;;G6.535.770.871.790.600.400
Protein Processing, Post-Translational;G5.315.600;G5.315.670.600
Protein Processing, Post-Translational;;G6.535.770.871.790.600
Protein Splicing;G5.315.600.700;G5.315.670.600.700
Protein Splicing;;G6.535.770.871.790.600.700
Protein Structure, Quaternary;G6.184.580.709.550;G6.184.603.790.709.550
Protein Structure, Secondary;G6.184.580.709.600;G6.184.603.790.709.600
Protein Structure, Tertiary;G6.184.580.709.610;G6.184.603.790.709.610
Proteochondroitin Sulfates;D9.203.698.735.830;D9.698.735.830
Proteoglycans;D9.203.698.735;D9.698.735
Proto-Oncogene Protein p21(ras);;D12.644.360.525.500.600
Proto-Oncogene Protein p21(ras);;D12.776.476.525.500.600
Proto-Oncogene Proteins c-mos;D8.811.913.696.620.682.700.559.680;D8.811.913.696.620.682.700.559.800
Proto-Oncogene Proteins c-mos;;D12.644.360.400.800
Proto-Oncogene Proteins c-mos;;D12.776.476.400.800
Proto-Oncogene Proteins c-raf;D8.811.913.696.620.682.700.559.685;D8.811.913.696.620.682.700.559.842.500
Proto-Oncogene Proteins c-raf;D12.776.624.664.700.750;D12.644.360.400.842.500
Proto-Oncogene Proteins c-raf;;D12.776.476.400.842.500
Proto-Oncogene Proteins c-raf;;D12.776.624.664.700.183.500
Protocatechuate-3,4-Dioxygenase;D8.811.682.690.700;D8.811.682.690.416.444.525
Protochlorophyllide;;D4.345.783.374.725
Protochlorophyllide;;D4.345.783.500.640.220.725
Protoporphyrins;;D4.345.783.500.725
Prototheca;B2.80.469.801;B2.80.634
Pseudopregnancy;G8.520.870;G8.520.769.887
Psilocybine;;D3.132.436.613
Psilocybine;;D3.438.473.402.613
Psychosine;D9.203.400.410.420.806;D9.400.410.420.806
Pterocarpans;;D3.438.127.637
Puberty;G8.520.876;G8.520.960.374
Public Health Informatics;L1.700.784;L1.313.750
PubMed;;L1.470.750.500.650
Punched-Card Systems;L1.700.568.110.85.800;L1.224.85.800
Pupa;G7.553.619.500.700;G7.574.500.550.500.700
Puromycin;D9.203.408.51.788;D9.408.51.788
Puromycin Aminonucleoside;D9.203.408.51.788.650;D9.408.51.788.650
Pyran Copolymer;;D5.750.830
Pyridinolcarbamate;D2.241.81.251.723;D2.241.81.251.583.799
Pyrogens;D9.203.698.761;D9.698.761
Pyruvate Dehydrogenase Complex;;D5.500.562.625
Quadruplets;G8.520.800.508;G8.520.769.525.508
Quail;B1.150.900.248.801;B1.150.900.248.350.650
Quantum Dots;;J1.637.512.750
Quintuplets;G8.520.800.550;G8.520.769.525.550
rab GTP-Binding Proteins;;D12.644.360.525.400
rab GTP-Binding Proteins;;D12.776.476.525.400
rab1 GTP-Binding Proteins;;D12.644.360.525.400.25
rab1 GTP-Binding Proteins;;D12.776.476.525.400.25
rab2 GTP-Binding Protein;;D12.644.360.525.400.50
rab2 GTP-Binding Protein;;D12.776.476.525.400.50
rab3 GTP-Binding Proteins;;D12.644.360.525.400.100
rab3 GTP-Binding Proteins;;D12.776.476.525.400.100
rab3A GTP-Binding Protein;;D12.644.360.525.400.100.100
rab3A GTP-Binding Protein;;D12.776.476.525.400.100.100
rab4 GTP-Binding Proteins;;D12.644.360.525.400.150
rab4 GTP-Binding Proteins;;D12.776.476.525.400.150
rab5 GTP-Binding Proteins;;D12.644.360.525.400.200
rab5 GTP-Binding Proteins;;D12.776.476.525.400.200
rac GTP-Binding Proteins;;D12.644.360.525.700.100
rac GTP-Binding Proteins;;D12.776.476.525.700.100
rac1 GTP-Binding Protein;;D12.644.360.525.700.100.100
rac1 GTP-Binding Protein;;D12.776.476.525.700.100.100
Raccoons;B1.150.900.649.147.802;B1.150.900.649.147.650.700
Radiation Injuries, Experimental;;E5.598.500.750
Radio;L1.178.147.739;J1.897.280.500.739
Radio;;L1.178.590.700
Radio;;L1.178.820.90.739
Radiographic Image Enhancement;L1.700.568.110.308.380.600;L1.224.308.380.600
Radiography, Dual-Energy Scanned Projection;L1.700.568.110.308.380.800;L1.224.308.380.800
Radioimmunoprecipitation Assay;;E5.478.605.825
Raffinose;D9.203.698.629.802.700;D9.698.629.802.700
Rain;;G3.230.700.380
ral GTP-Binding Proteins;;D12.644.360.525.450
ral GTP-Binding Proteins;;D12.776.476.525.450
ral Guanine Nucleotide Exchange Factor;;D12.644.360.325.300.600
ral Guanine Nucleotide Exchange Factor;;D12.776.476.325.300.600
ran GTP-Binding Protein;;D12.644.360.525.462
ran GTP-Binding Protein;;D12.776.476.525.462
rap GTP-Binding Proteins;;D12.644.360.525.475
rap GTP-Binding Proteins;;D12.776.476.525.475
rap1 GTP-Binding Proteins;;D12.644.360.525.475.100
rap1 GTP-Binding Proteins;;D12.776.476.525.475.100
ras GTPase-Activating Proteins;;D12.644.360.325.150.500
ras GTPase-Activating Proteins;;D12.776.476.325.150.500
ras Guanine Nucleotide Exchange Factors;;D12.644.360.325.300.700
ras Guanine Nucleotide Exchange Factors;;D12.776.476.325.300.700
ras Proteins;;D12.644.360.525.500
ras Proteins;;D12.776.476.525.500
ras-GRF1;;D12.644.360.325.300.700.500
ras-GRF1;;D12.776.476.325.300.700.500
Rats, Inbred ACI;;B1.50.157.760.80
Rats, Inbred ACI;;B1.50.199.520.760.80
Rats, Inbred BB;;B1.50.157.760.90
Rats, Inbred BB;;B1.50.199.520.760.90
Rats, Inbred BN;;B1.50.157.760.110
Rats, Inbred BN;;B1.50.199.520.760.110
Rats, Inbred BUF;;B1.50.157.760.130
Rats, Inbred BUF;;B1.50.199.520.760.130
Rats, Inbred Dahl;;B1.50.157.760.165
Rats, Inbred Dahl;;B1.50.199.520.760.165
Rats, Inbred F344;;B1.50.157.760.200
Rats, Inbred F344;;B1.50.199.520.760.200
Rats, Inbred LEC;;B1.50.157.760.275
Rats, Inbred LEC;;B1.50.199.520.760.275
Rats, Inbred Lew;;B1.50.157.760.280
Rats, Inbred Lew;;B1.50.199.520.760.280
Rats, Inbred OLETF;;B1.50.157.760.290
Rats, Inbred OLETF;;B1.50.199.520.760.290
Rats, Inbred SHR;;B1.50.157.760.300
Rats, Inbred SHR;;B1.50.199.520.760.300
Rats, Inbred Strains;;B1.50.157.760
Rats, Inbred Strains;;B1.50.199.520.760
Rats, Inbred WF;;B1.50.157.760.360
Rats, Inbred WF;;B1.50.199.520.760.360
Rats, Inbred WKY;;B1.50.157.760.390
Rats, Inbred WKY;;B1.50.199.520.760.390
Receptors, Retinoic Acid;D12.776.826.700;D12.776.826.701
Renin-Angiotensin System;D12.472.750;
Reproduction, Asexual;G8.730;G8.520.830
Reserpine;D3.132.973.641.696;D3.132.436.681.933.500
Reserpine;D3.549.937.641.646;D3.438.473.402.681.933.500
Resin Cements;;D5.750.716.822.730
Resins, Plant;;D5.750.78.740
Resins, Synthetic;;D5.750.716.822
Restraint, Physical;E5.823;E5.472.760
Reticulin;;D5.750.78.742
Retinal Neoplasms;;C11.768.717
Retinoblastoma;;C11.768.717.760
RGS Proteins;;D12.644.360.325.150.750
RGS Proteins;;D12.776.476.325.150.750
Rhamnose;D9.203.254.799;D9.254.799
Rhamnose;D9.203.546.359.774;D9.546.359.774
Rheas;B1.150.900.248.818.655;B1.150.900.248.600.750
Rhinophyma;C17.800.30.90.500;C17.800.716.500
Rhinophyma;C17.800.271.125.150.650;
Rhinoplasty;;E2.218.755
rho GTP-Binding Proteins;;D12.644.360.525.700
rho GTP-Binding Proteins;;D12.776.476.525.700
rhoA GTP-Binding Protein;;D12.644.360.525.700.200
rhoA GTP-Binding Protein;;D12.776.476.525.700.200
rhoB GTP-Binding Protein;;D12.644.360.525.700.300
rhoB GTP-Binding Protein;;D12.776.476.525.700.300
Rhytidoplasty;;E2.218.765
Ribitol;D9.203.853.780;D9.853.780
Ribose;D9.203.546.627.651;D9.546.627.651
Ribosemonophosphates;D9.203.894.643.700;D9.894.643.700
Ribosomal Protein S6 Kinases;;D12.644.360.600
Ribosomal Protein S6 Kinases;;D12.776.476.600
Ribosomal Protein S6 Kinases, 70kD;;D12.644.360.600.249
Ribosomal Protein S6 Kinases, 70kD;;D12.776.476.600.249
Ribosomal Protein S6 Kinases, 90kD;;D12.644.360.600.500
Ribosomal Protein S6 Kinases, 90kD;;D12.776.476.600.500
Ribostamycin;D9.203.408.51.623.800;D9.408.51.623.800
Ribulosephosphates;D9.203.894.643.720;D9.894.643.720
Rifabutin;;D4.345.295.750.650
Rifampin;;D4.345.295.750.700
Rifamycins;;D4.345.295.750
Ristocetin;D9.203.400.420.800;D9.400.420.800
RNA 3' End Processing;;G6.535.839.225
RNA Editing;;G6.535.839.250
RNA Processing, Post-Transcriptional;;G6.535.839
RNA Splicing;;G6.535.839.700
Ro 20-1724;D3.383.374.790;D3.383.374.100
Robotics;L1.700.568.110.65.630;L1.224.65.630
Rolitetracycline;D4.615.597.900.720;D4.615.562.900.720
Roxithromycin;D9.203.408.477.250.630;D4.345.349.250.630
Roxithromycin;;D9.408.477.250.630
Rubber;;D5.750.78.750
Rubber;;D5.750.327.840
Rubber;;D5.750.865
Rubber;;D25.720.99.750
Rutamycin;D9.203.408.477.620.750;D4.345.349.620.750
Rutamycin;;D9.408.477.620.750
S Phase;G4.335.135.500.800;G4.335.134.500.800
S Phase;G7.553.135.500.800;G5.200.880
S Phase;;G7.382.374.500.800
Saccharin;D9.818.687;
Safe Sex;G8.520.902.845;G8.520.950.845
Salsoline Alkaloids;D3.438.531.750;D3.438.531.820.500
Sandhoff Disease;;C10.228.140.163.100.435.825.300.300.249
Saponins;D9.203.408.782;D9.408.782
Sarcoma, Experimental;;E5.598.500.496.968
SC-19220;D3.494.347.750;D3.494.347.200
Schizophyllum;B5.179.120.824;B5.179.100.750
Sepharose;D9.203.698.813;D9.698.813
Sertoli Cell Tumor;C4.557.475.740;C4.557.475.750.847.500
Sertoli-Leydig Cell Tumor;C4.557.475.75.750;C4.557.475.750.847
Sertoli-Leydig Cell Tumor;C4.588.322.455.265.500;C4.588.322.455.648
Sertoli-Leydig Cell Tumor;C4.588.945.418.685.148.500;C4.588.322.762.500
Sertoli-Leydig Cell Tumor;C13.371.56.630.705.132.500;C12.294.829.782.500
Sertoli-Leydig Cell Tumor;C13.371.270.750.124.500;C13.371.56.630.705.648
Sertoli-Leydig Cell Tumor;C13.371.820.800.418.685.132.500;C13.371.270.750.625
Sertoli-Leydig Cell Tumor;C19.344.455.265.500;C19.344.410.648
Sertoli-Leydig Cell Tumor;C19.391.630.705.132.500;C19.344.762.500
Sertoli-Leydig Cell Tumor;;C19.391.630.705.648
Sertoli-Leydig Cell Tumor;;C19.391.829.782.500
Sex Differentiation;G7.553.800;G7.574.500.325.520
Sex Differentiation;;G8.520.960.500
Sex Manuals;;L1.178.820.500.666
Sex Maturation;G7.553.809;G8.520.960.750
Sexual Abstinence;G8.520.902.900;G8.520.950.900
Sexual Behavior;G8.520.902;G8.520.950
Sexual Harassment;G8.520.902.950;G8.520.950.950
Sexuality;G8.520.902.975;G8.520.950.975
Shiitake Mushrooms;B5.179.100.500.810;B5.179.120.760.500.810
Sialic Acids;D9.203.67.687.668;D9.67.687.668
Sialic Acids;D9.203.811.589.668;D9.811.589.668
Signal Processing, Computer-Assisted;L1.700.568.110.800;L1.224.800
Silicone Elastomers;;D5.750.327.900
Silicone Elastomers;;D5.750.900.850.900
Silicone Gels;;D5.750.900.850.905
Silicone Oils;;D5.750.900.850.950
Silicones;;D5.750.900.850
Silkworms;B1.500.131.617.561.650.669;B1.500.131.617.561.650.100
Siloxanes;;D5.750.900
Simbu virus;B4.820.87.150.855;B4.820.87.640.855
Simbu virus;B4.909.777.147.150.855;B4.909.777.147.640.855
Simethicone;;D5.750.900.850.150.750
Sirolimus;;D4.345.349.760
Sisomicin;D9.203.408.51.374.785;D9.408.51.374.785
Sizofiran;D9.203.698.365.800;D9.698.365.89.625
Skinfold Thickness;E1.370.600.760;E1.370.600.115.100.803
Skinfold Thickness;;E5.118.803
Skinfold Thickness;;G7.290.100.803
Skunks;B1.150.900.649.147.875;B1.150.900.649.147.500
Snow;;G3.230.700.417
Software;L1.700.568.810;L1.224.900
Software Design;L1.700.568.810.820;L1.224.900.820
Software Validation;L1.700.568.810.868;L1.224.900.868
Solanine;D9.203.408.782.674;D9.408.782.674
Somatostatinoma;;C4.588.322.421.500.500
Somatostatinoma;;C19.344.421.500.500
Somatotypes;G7.265.758;E1.370.600.115.800
Somatotypes;;G7.290.800
Somatotypes;;G7.810
Son of Sevenless Protein, Drosophila;;D12.644.360.325.300.700.700.600
Son of Sevenless Protein, Drosophila;;D12.776.476.325.300.700.700.600
Son of Sevenless Proteins;;D12.644.360.325.300.700.700
Son of Sevenless Proteins;;D12.776.476.325.300.700.700
Songbirds;B1.150.900.248.825;B1.150.900.248.620.750
Sorbitol;D9.203.853.813;D9.853.813
Sorbitol;D9.818.700;
Sorbose;D9.203.546.359.862;D9.546.359.862
Sorbose;D9.203.546.465.758;D9.546.465.758
SOS1 Protein;;D12.644.360.325.300.700.700.200
SOS1 Protein;;D12.776.476.325.300.700.700.200
Spectrometry, Fluorescence;E5.196.712.382.676;E5.196.712.516.600.676
Sperm Maturation;G7.553.196.650.624.700;G7.382.750.650.624.700
Spermatogenesis;G7.553.196.650.624;G7.382.750.650.624
Sphingomyelins;D9.203.400.410.420.525.870;D9.400.410.420.525.870
Spiramycin;D9.203.408.477.440.725;D4.345.349.440.725
Spiramycin;;D9.408.477.440.725
Spores, Fungal;B5.295.750;B5.295.249.500
SQ-18506;D2.640.600.900;D2.640.600.200
SQ-18506;D3.383.312.649.900;D3.383.312.649.200
SQ-18506;D3.383.548.580.650;D3.383.548.580.200
src Homology Domains;G6.184.580.709.610.800;G6.184.603.790.709.610.800
Starch;D9.203.698.365.855;D5.750.78.562.855
Starch;;D9.698.365.855
Stearoyl-CoA Desaturase;D8.811.682.580.392.625;D8.811.682.690.708.392.625
Steroid 11-beta-Hydroxylase;D8.811.682.580.170.915.720;D8.811.682.690.708.170.915.720
Steroid 11-beta-Hydroxylase;D8.811.682.580.783.720;D8.811.682.690.708.783.720
Steroid 12-alpha-Hydroxylase;D8.811.682.580.170.915.730;D8.811.682.690.708.170.915.730
Steroid 12-alpha-Hydroxylase;D8.811.682.580.783.730;D8.811.682.690.708.783.730
Steroid 16-alpha-Hydroxylase;D8.811.682.580.170.915.737;D8.811.682.690.708.170.915.737
Steroid 16-alpha-Hydroxylase;D8.811.682.580.783.737;D8.811.682.690.708.783.737
Steroid 17-alpha-Hydroxylase;D8.811.682.580.170.915.748;D8.811.682.690.708.170.915.748
Steroid 17-alpha-Hydroxylase;D8.811.682.580.783.745;D8.811.682.690.708.783.745
Steroid 21-Hydroxylase;D8.811.682.580.170.915.760;D8.811.682.690.708.170.915.760
Steroid 21-Hydroxylase;D8.811.682.580.783.760;D8.811.682.690.708.783.760
Steroid Hydroxylases;D8.811.682.580.170.915;D8.811.682.690.708.170.915
Steroid Hydroxylases;D8.811.682.580.783;D8.811.682.690.708.783
Stilbamidines;;D2.455.426.559.389.150.700.550
Stomach Dilatation;C6.405.748.717;C6.405.748.300
Streptogramin A;;D4.345.566.802.500.500
Streptogramin A;;D4.345.566.802.875.500
Streptogramin B;;D4.345.566.802.750.500
Streptogramin Group A;;D4.345.566.802.500
Streptogramin Group B;;D4.345.566.802.750
Streptogramins;;D4.345.566.802
Streptomycin;D9.203.408.51.885;D9.408.51.885
Streptothricins;D9.203.408.51.892;D9.408.51.892
Streptovaricin;;D4.345.295.750.650.700
